,,,,,,,HR,MRR,COV
"('sss', 0.01)","('r', 3e-07)","('rr', 0.03)","('r', 30)","('nsne', 15)","('lr', 3e-08)","('mi', 40)",0.0147804985661,0.00780948529129,24
"('sss', 0.01)","('r', 3e-07)","('rr', 0.03)","('r', 150)","('nsne', 50)","('lr', 1e-07)","('mi', 40)",0.0147804985661,0.00780703413066,23
"('sss', 0.01)","('r', 1e-06)","('rr', 0.003)","('r', 5)","('nsne', 30)","('lr', 3e-07)","('mi', 40)",0.0138980807412,0.00773691342851,23
"('sss', 0.01)","('r', 1e-06)","('rr', 0.01)","('r', 50)","('nsne', 15)","('lr', 1e-06)","('mi', 40)",0.0147804985661,0.00778865042598,23
"('sss', 0.01)","('r', 1e-06)","('rr', 0.1)","('r', 50)","('nsne', 50)","('lr', 3e-10)","('mi', 40)",0.0145598941099,0.00778742484566,23
"('sss', 0.01)","('r', 1e-06)","('rr', 0.3)","('r', 30)","('nsne', 70)","('lr', 1e-06)","('mi', 40)",0.0138980807412,0.007720893343,20
"('sss', 0.01)","('r', 3e-06)","('rr', 0.001)","('r', 150)","('nsne', 1)","('lr', 3e-09)","('mi', 40)",0.0127950584602,0.00746763592561,22
"('sss', 0.01)","('r', 3e-06)","('rr', 0.03)","('r', 50)","('nsne', None)","('lr', 3e-09)","('mi', 40)",0.0138980807412,0.00754423469513,24
"('sss', 0.01)","('r', 3e-06)","('rr', 0.03)","('r', 75)","('nsne', 10)","('lr', 1e-08)","('mi', 40)",0.0138980807412,0.0076914794155,24
"('sss', 0.01)","('r', 3e-06)","('rr', 0.1)","('r', 150)","('nsne', 100)","('lr', 1e-10)","('mi', 40)",0.0110302228105,0.00719459414033,20
"('sss', 0.01)","('r', 3e-06)","('rr', 0.3)","('r', 150)","('nsne', 30)","('lr', 3e-06)","('mi', 40)",0.0145598941099,0.00778742484566,23
"('sss', 0.03)","('r', 1e-10)","('rr', 0.003)","('r', 50)","('nsne', 15)","('lr', 1e-09)","('mi', 40)",0.0156629163909,0.00789028605044,62
"('sss', 0.03)","('r', 3e-10)","('rr', 0.03)","('r', 30)","('nsne', 70)","('lr', 1e-08)","('mi', 40)",0.0145598941099,0.0078012563949,129
"('sss', 0.03)","('r', 3e-10)","('rr', 0.1)","('r', 50)","('nsne', 20)","('lr', 3e-06)","('mi', 40)",0.0141186851974,0.007816225983,93
"('sss', 0.03)","('r', 3e-10)","('rr', 0.1)","('r', 75)","('nsne', 100)","('lr', 1e-06)","('mi', 40)",0.0143392896537,0.00781333711512,328
"('sss', 0.03)","('r', 3e-10)","('rr', 0.3)","('r', 50)","('nsne', None)","('lr', 1e-08)","('mi', 40)",0.0145598941099,0.00775555975755,137
"('sss', 0.03)","('r', 1e-09)","('rr', 0.001)","('r', 1)","('nsne', 10)","('lr', 1e-07)","('mi', 40)",0.0145598941099,0.00774269116427,42
"('sss', 0.03)","('r', 1e-09)","('rr', 0.001)","('r', 100)","('nsne', 20)","('lr', 1e-08)","('mi', 40)",0.0145598941099,0.00775661025496,67
