,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD+CB,PureSVD+CB,PureSVD+CB
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
4,500,487.0,0.0707213578501,0.0244190745605,522.0,0.0693069306931,0.025923867897,564.0,0.0678925035361,0.0249556588312,470.0,0.0693069306931,0.0238751936418
4,750,600.0,0.0693069306931,0.0219438270358,621.0,0.0664780763791,0.0211271637368,668.0,0.0693069306931,0.0211271637368,588.0,0.0707213578501,0.0225960351137
4,1000,695.0,0.0678925035361,0.0226611436654,728.0,0.0650636492221,0.0210227655419,780.0,0.0664780763791,0.0209795469343,683.0,0.0693069306931,0.0229283132395
4,1250,820.0,0.0650636492221,0.0216441031858,851.0,0.0664780763791,0.0217855459015,862.0,0.0678925035361,0.02126636133,815.0,0.0650636492221,0.0218579511012
4,1500,906.0,0.0707213578501,0.0228828495094,919.0,0.0707213578501,0.0227941671718,949.0,0.0707213578501,0.0214723513168,906.0,0.0678925035361,0.0225191396691
5,1,20.0,0.0240793201133,0.0057084401277,20.0,0.0184135977337,0.00604343720491,20.0,0.0184135977337,0.00609402401187,20.0,0.0198300283286,0.00525203471379
5,5,132.0,0.042492917847,0.016073676874,141.0,0.0382436260623,0.0147061468591,136.0,0.0439093484419,0.0149146769189,132.0,0.0439093484419,0.0167447951796
5,10,170.0,0.0467422096317,0.0148758937003,169.0,0.0481586402266,0.0154424659382,176.0,0.0467422096317,0.0160719906471,174.0,0.0467422096317,0.0148011376411
5,15,205.0,0.056657223796,0.0155717433338,206.0,0.0538243626062,0.0158634605873,202.0,0.056657223796,0.0163080624129,206.0,0.056657223796,0.0155329601151
5,20,220.0,0.0495750708215,0.0162608480597,224.0,0.0509915014164,0.0169982912901,225.0,0.0552407932011,0.0187058770628,221.0,0.0481586402266,0.0157746526373
