,,,,,,,HR,MRR,COV
"('sss', 0.01)","('r', 0.0003)","('rr', 0.1)","('r', 300)","('nsne', 10)","('lr', 1e-06)","('mi', 40)",0.0410764872521,0.0115849408696,10
"('sss', 0.01)","('r', 0.0003)","('rr', 0.3)","('r', 10)","('nsne', 3)","('lr', 0.0003)","('mi', 40)",0.042492917847,0.0121902963263,24
"('sss', 0.01)","('r', 0.001)","('rr', 0.0001)","('r', 30)","('nsne', 3)","('lr', 3e-09)","('mi', 40)",0.0453257790368,0.0124634650839,10
"('sss', 0.01)","('r', 0.001)","('rr', 0.01)","('r', 30)","('nsne', 3)","('lr', 0.0003)","('mi', 40)",0.0410764872521,0.0120806915779,10
"('sss', 0.01)","('r', 0.001)","('rr', 0.1)","('r', 30)","('nsne', 10)","('lr', 0.0003)","('mi', 40)",0.0410764872521,0.0115298574576,10
"('sss', 0.01)","('r', 0.001)","('rr', 0.1)","('r', 100)","('nsne', 10)","('lr', 1e-10)","('mi', 40)",0.0382436260623,0.0098790413238,10
"('sss', 0.03)","('r', 1e-10)","('rr', 0.0001)","('r', 100)","('nsne', 100)","('lr', 3e-10)","('mi', 40)",0.0254957507082,0.00615416610459,219
"('sss', 0.03)","('r', 1e-10)","('rr', 0.003)","('r', 300)","('nsne', 3)","('lr', 1e-09)","('mi', 40)",0.056657223796,0.015018660911,630
"('sss', 0.03)","('r', 1e-10)","('rr', 0.1)","('r', 100)","('nsne', 100)","('lr', 3e-08)","('mi', 40)",0.0254957507082,0.00634808219794,202
"('sss', 0.03)","('r', 3e-10)","('rr', 0.0001)","('r', 300)","('nsne', 10)","('lr', 1e-07)","('mi', 40)",0.0495750708215,0.012333063537,495
"('sss', 0.03)","('r', 3e-10)","('rr', 0.0001)","('r', 300)","('nsne', 100)","('lr', 1e-08)","('mi', 40)",0.0226628895184,0.00703437654571,192
"('sss', 0.03)","('r', 3e-10)","('rr', 0.0003)","('r', 30)","('nsne', 3)","('lr', 3e-07)","('mi', 40)",0.056657223796,0.0152412428616,644
"('sss', 0.03)","('r', 3e-10)","('rr', 0.1)","('r', 100)","('nsne', 1)","('lr', 3e-09)","('mi', 40)",0.0538243626062,0.017399613292,504
"('sss', 0.03)","('r', 1e-09)","('rr', 0.0001)","('r', 10)","('nsne', 3)","('lr', 1e-09)","('mi', 40)",0.0538243626062,0.0149208597509,624
"('sss', 0.03)","('r', 1e-09)","('rr', 0.0003)","('r', 300)","('nsne', 10)","('lr', 0.0003)","('mi', 40)",0.0439093484419,0.0129535950357,164
"('sss', 0.03)","('r', 1e-09)","('rr', 0.01)","('r', 30)","('nsne', 10)","('lr', 1e-08)","('mi', 40)",0.0453257790368,0.0135083636854,576
