,,,,,,,HR,MRR,COV
"('sss', 0.03)","('r', 1e-10)","('rr', 0.3)","('r', 50)","('nsne', 5)","('lr', 3e-09)","('mi', 40)",0.16265560166,0.0645218336297,550
"('sss', 0.03)","('r', 3e-10)","('rr', 0.003)","('r', 100)","('nsne', 5)","('lr', 3e-08)","('mi', 40)",0.172614107884,0.0650625699796,562
"('sss', 0.03)","('r', 3e-10)","('rr', 0.003)","('r', 250)","('nsne', 1)","('lr', 1e-10)","('mi', 40)",0.160995850622,0.0622828163077,532
"('sss', 0.03)","('r', 3e-10)","('rr', 0.03)","('r', 5)","('nsne', 30)","('lr', 1e-06)","('mi', 40)",0.155186721992,0.0630079694395,233
"('sss', 0.03)","('r', 3e-10)","('rr', 0.03)","('r', 100)","('nsne', None)","('lr', 3e-06)","('mi', 40)",0.166804979253,0.0667592043733,550
"('sss', 0.03)","('r', 3e-10)","('rr', 0.03)","('r', 200)","('nsne', 20)","('lr', 1e-06)","('mi', 40)",0.169294605809,0.0690594744122,390
"('sss', 0.03)","('r', 3e-10)","('rr', 0.1)","('r', 20)","('nsne', 30)","('lr', 1e-08)","('mi', 40)",0.165975103734,0.0680353026411,338
"('sss', 0.03)","('r', 3e-10)","('rr', 0.1)","('r', 50)","('nsne', 70)","('lr', 1e-10)","('mi', 40)",0.157676348548,0.067009154976,412
"('sss', 0.03)","('r', 3e-10)","('rr', 0.3)","('r', 5)","('nsne', 50)","('lr', 1e-06)","('mi', 40)",0.154356846473,0.0610205492986,263
"('sss', 0.03)","('r', 1e-09)","('rr', 0.01)","('r', 1)","('nsne', 10)","('lr', 3e-07)","('mi', 40)",0.108713692946,0.0384914048607,139
"('sss', 0.03)","('r', 1e-09)","('rr', 0.01)","('r', 50)","('nsne', None)","('lr', 3e-07)","('mi', 40)",0.169294605809,0.0691190805506,540
"('sss', 0.03)","('r', 1e-09)","('rr', 0.3)","('r', 10)","('nsne', 70)","('lr', 3e-07)","('mi', 40)",0.156846473029,0.0617664493183,338
"('sss', 0.03)","('r', 3e-09)","('rr', 0.001)","('r', 150)","('nsne', None)","('lr', 1e-06)","('mi', 40)",0.164315352697,0.061831983139,559
"('sss', 0.03)","('r', 3e-09)","('rr', 0.01)","('r', 30)","('nsne', 10)","('lr', 3e-10)","('mi', 40)",0.180912863071,0.0715800566423,489
"('sss', 0.03)","('r', 3e-09)","('rr', 0.3)","('r', 50)","('nsne', 1)","('lr', 3e-09)","('mi', 40)",0.147717842324,0.0577036817493,543
"('sss', 0.03)","('r', 1e-08)","('rr', 0.003)","('r', 10)","('nsne', 70)","('lr', 1e-09)","('mi', 40)",0.151867219917,0.0633274056511,369
