,,,,,,,HR,MRR,COV
"('sss', 0.01)","('r', 0.0003)","('rr', 0.0003)","('r', 10)","('nsne', 10)","('lr', 3e-07)","('mi', 40)",0.0146458717648,0.00324157259005,10
"('sss', 0.01)","('r', 0.0003)","('rr', 0.1)","('r', 300)","('nsne', 10)","('lr', 1e-06)","('mi', 40)",0.0191737939516,0.00551136771999,10
"('sss', 0.01)","('r', 0.0003)","('rr', 0.3)","('r', 10)","('nsne', 3)","('lr', 0.0003)","('mi', 40)",0.0223042092906,0.00736477235723,10
"('sss', 0.01)","('r', 0.001)","('rr', 0.0001)","('r', 30)","('nsne', 3)","('lr', 3e-09)","('mi', 40)",0.0129688635474,0.00374068217855,10
"('sss', 0.01)","('r', 0.001)","('rr', 0.01)","('r', 30)","('nsne', 3)","('lr', 0.0003)","('mi', 40)",0.0245402202471,0.0073227584212,10
"('sss', 0.01)","('r', 0.001)","('rr', 0.1)","('r', 30)","('nsne', 10)","('lr', 0.0003)","('mi', 40)",0.0238694169601,0.00625792475113,10
"('sss', 0.01)","('r', 0.001)","('rr', 0.1)","('r', 100)","('nsne', 10)","('lr', 1e-10)","('mi', 40)",0.0145899714909,0.0032669939051,10
"('sss', 0.03)","('r', 1e-10)","('rr', 0.0001)","('r', 100)","('nsne', 100)","('lr', 3e-10)","('mi', 40)",0.00139750684778,0.000427015981267,32
"('sss', 0.03)","('r', 1e-10)","('rr', 0.003)","('r', 300)","('nsne', 3)","('lr', 1e-09)","('mi', 40)",0.0237017161384,0.00907197115901,148
"('sss', 0.03)","('r', 1e-10)","('rr', 0.1)","('r', 100)","('nsne', 100)","('lr', 3e-08)","('mi', 40)",0.00122980602605,0.000462863141045,30
"('sss', 0.03)","('r', 3e-10)","('rr', 0.0001)","('r', 300)","('nsne', 10)","('lr', 1e-07)","('mi', 40)",0.0166582816256,0.00595874737247,184
"('sss', 0.03)","('r', 3e-10)","('rr', 0.0001)","('r', 300)","('nsne', 100)","('lr', 1e-08)","('mi', 40)",0.00111800547823,0.000422512903647,32
"('sss', 0.03)","('r', 3e-10)","('rr', 0.0003)","('r', 30)","('nsne', 3)","('lr', 3e-07)","('mi', 40)",0.0242607188775,0.0095020261631,166
"('sss', 0.03)","('r', 3e-10)","('rr', 0.1)","('r', 100)","('nsne', 1)","('lr', 3e-09)","('mi', 40)",0.0212421040863,0.0074041021928,74
"('sss', 0.03)","('r', 1e-09)","('rr', 0.0001)","('r', 10)","('nsne', 3)","('lr', 1e-09)","('mi', 40)",0.0247638213427,0.00950879187086,177
"('sss', 0.03)","('r', 1e-09)","('rr', 0.0003)","('r', 300)","('nsne', 10)","('lr', 0.0003)","('mi', 40)",0.0328693610599,0.00898532573445,32
"('sss', 0.03)","('r', 1e-09)","('rr', 0.01)","('r', 30)","('nsne', 10)","('lr', 1e-08)","('mi', 40)",0.0142545698474,0.00616564493388,163
"('sss', 0.03)","('r', 3e-09)","('rr', 0.001)","('r', 30)","('nsne', 3)","('lr', 1e-07)","('mi', 40)",0.0225278103863,0.00879763834652,146
"('sss', 0.03)","('r', 1e-08)","('rr', 0.1)","('r', 10)","('nsne', 30)","('lr', 3e-09)","('mi', 40)",0.00290681424339,0.000860575843806,67
