,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD,PureSVD,PureSVD
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
1,1,90.0,0.103476821192,0.0357773573005,90.0,0.101821192053,0.0355194864922,90.0,0.103476821192,0.0347061258278,90.0,0.104304635762,0.0360352281089
1,5,233.0,0.158940397351,0.067376222012,235.0,0.152317880795,0.0658250551876,239.0,0.141556291391,0.0599272048775,238.0,0.158112582781,0.0681406364974
1,10,347.0,0.175496688742,0.0787681987806,352.0,0.171357615894,0.0776890833596,355.0,0.166390728477,0.0726995295911,339.0,0.177152317881,0.0767643619258
1,15,398.0,0.191225165563,0.086018146221,401.0,0.191225165563,0.0806258540944,396.0,0.180463576159,0.0767347971197,396.0,0.192052980132,0.085303663408
1,20,439.0,0.207781456954,0.0934688058446,444.0,0.194536423841,0.0860309576369,443.0,0.192052980132,0.0776900688531,442.0,0.207781456954,0.0926873094712
1,30,511.0,0.210264900662,0.0896739987386,503.0,0.215231788079,0.09213871807,493.0,0.19701986755,0.0838727267949,517.0,0.210264900662,0.0931363660254
1,50,600.0,0.216887417219,0.0894696730789,597.0,0.219370860927,0.0908234126984,568.0,0.208609271523,0.0865802060338,598.0,0.226821192053,0.0906529223168
1,75,659.0,0.21440397351,0.0882128403238,645.0,0.208609271523,0.0919130400505,638.0,0.201986754967,0.0883196021234,661.0,0.204470198675,0.0840277777778
1,100,705.0,0.19619205298,0.079100310102,708.0,0.19701986755,0.0895422711027,688.0,0.19701986755,0.086692223799,710.0,0.187913907285,0.075171804373
1,125,763.0,0.183774834437,0.0753715310628,752.0,0.191225165563,0.0810456743404,735.0,0.197847682119,0.0846670345843,763.0,0.176324503311,0.0721509381898
1,150,814.0,0.171357615894,0.0705422842426,807.0,0.187913907285,0.0716795437822,790.0,0.188741721854,0.0765866445916,806.0,0.16142384106,0.0655744113319
1,200,908.0,0.168046357616,0.0663273283927,903.0,0.173841059603,0.0677842163355,869.0,0.173013245033,0.0687095947651,903.0,0.157284768212,0.060721184169
1,300,1054.0,0.132450331126,0.0534249185325,1048.0,0.144867549669,0.0654663355408,1019.0,0.14321192053,0.0644880689583,1040.0,0.130794701987,0.0521408204562
1,500,1274.0,0.0935430463576,0.0421728818459,1312.0,0.103476821192,0.0494859008725,1276.0,0.108443708609,0.0562785793125,1278.0,0.0877483443709,0.0400153079996
1,750,1443.0,0.0612582781457,0.0299668874172,1526.0,0.067880794702,0.033813268685,1523.0,0.0827814569536,0.0404548381163,1424.0,0.0587748344371,0.0280090402607
1,1000,1555.0,0.0364238410596,0.0155070692736,1683.0,0.0471854304636,0.0206520025229,1714.0,0.0637417218543,0.03167836119,1542.0,0.0314569536424,0.0151762719437
1,1250,1637.0,0.0264900662252,0.011864028172,1778.0,0.0264900662252,0.0137716151582,1833.0,0.044701986755,0.0237927704194,1607.0,0.0240066225166,0.0105681041732
1,1500,1672.0,0.0132450331126,0.00891017554925,1848.0,0.0149006622517,0.00898277357301,1890.0,0.0355960264901,0.0195581046988,1635.0,0.012417218543,0.00766188373804
1,1750,1636.0,0.00993377483444,0.00697433774834,1846.0,0.0115894039735,0.00757778828971,1864.0,0.0281456953642,0.0197900241774,1615.0,0.0091059602649,0.00687086092715
1,2000,1578.0,0.00579470198675,0.00267889992642,1757.0,0.00745033112583,0.0037527593819,1761.0,0.0248344370861,0.015135209713,1572.0,0.00579470198675,0.00253173289183
1,2500,1376.0,0.00248344370861,0.00174760853569,1450.0,0.00248344370861,0.00182119205298,1415.0,0.0198675496689,0.0126103752759,1368.0,0.00165562913907,0.00165562913907
1,3000,856.0,0.000827814569536,0.000827814569536,893.0,0.000827814569536,0.000827814569536,800.0,0.0173841059603,0.014266004415,856.0,0.00165562913907,0.00091059602649
1,3200,605.0,0.000827814569536,0.000827814569536,626.0,0.000827814569536,0.000827814569536,510.0,0.0173841059603,0.00940555029959,600.0,0.000827814569536,0.000827814569536
2,1,82.0,0.086164043082,0.0342989308399,82.0,0.0853355426678,0.0311907392065,83.0,0.0845070422535,0.0311726568562,82.0,0.0845070422535,0.0342542181192
2,5,255.0,0.13256006628,0.0544012440657,254.0,0.135874067937,0.0531091779435,253.0,0.135874067937,0.0512503123315,241.0,0.130903065452,0.0544298470562
2,10,361.0,0.15990057995,0.070175957707,362.0,0.152444076222,0.0657628779211,348.0,0.147473073737,0.0618876658645,360.0,0.162386081193,0.0694582527847
2,15,430.0,0.174813587407,0.0701019844558,426.0,0.169014084507,0.0707710314173,415.0,0.158243579122,0.070057271735,428.0,0.17149958575,0.0697817624702
2,20,469.0,0.192212096106,0.081453426441,467.0,0.191383595692,0.0764847253455,460.0,0.176470588235,0.0722883049934,465.0,0.190555095278,0.0820277876409
2,30,531.0,0.211267605634,0.0944835680751,522.0,0.199668599834,0.085525900501,521.0,0.195526097763,0.0809079970016,524.0,0.212924606462,0.0932595573441
2,50,604.0,0.235294117647,0.0989755526624,599.0,0.222866611433,0.0920776291737,594.0,0.199668599834,0.0823355163662,592.0,0.231151615576,0.0994450362305
2,75,662.0,0.215410107705,0.0884072408306,667.0,0.221209610605,0.088256664168,655.0,0.198011599006,0.0849870464618,664.0,0.212096106048,0.0877819202798
2,100,742.0,0.202982601491,0.082846096185,733.0,0.202154101077,0.0854585026499,713.0,0.207125103563,0.0879719493431,746.0,0.196354598177,0.0801232229981
2,125,787.0,0.182270091135,0.075058192291,778.0,0.184755592378,0.0749467392591,763.0,0.187241093621,0.0782778369564,793.0,0.186412593206,0.0743825699294
2,150,833.0,0.184755592378,0.0658378374824,829.0,0.178127589064,0.0721982220118,815.0,0.174813587407,0.0741698557357,838.0,0.173985086993,0.0643646190871
2,200,915.0,0.166528583264,0.0610200418195,926.0,0.155758077879,0.0599673202614,886.0,0.158243579122,0.0647016083429,910.0,0.154101077051,0.0603062821373
2,300,1051.0,0.141673570837,0.0530302731421,1059.0,0.130903065452,0.0522928420194,1033.0,0.129246064623,0.0512891071922,1069.0,0.137531068766,0.0513081758525
2,500,1283.0,0.0845070422535,0.0304496916137,1323.0,0.0836785418393,0.0314327139306,1281.0,0.0919635459818,0.0339172288634,1276.0,0.0845070422535,0.0303931431728
2,750,1453.0,0.0571665285833,0.0259455425363,1514.0,0.0579950289975,0.0247935324364,1535.0,0.0613090306545,0.026278257782,1444.0,0.056338028169,0.0256036217304
2,1000,1572.0,0.0447390223695,0.0175928117726,1688.0,0.0447390223695,0.0177834983759,1705.0,0.0455675227838,0.0202137662577,1557.0,0.0405965202983,0.0162021146487
2,1250,1664.0,0.026512013256,0.00983844241922,1805.0,0.0281690140845,0.0117633908023,1872.0,0.0414250207125,0.0156889046698,1658.0,0.0256835128418,0.00961849528544
2,1500,1652.0,0.0149130074565,0.00691337567891,1834.0,0.0207125103563,0.00937915072132,1917.0,0.029826014913,0.0148400205152,1655.0,0.016570008285,0.00669934640523
2,1750,1649.0,0.0115990057995,0.00610657408503,1824.0,0.0157415078708,0.00709847319209,1890.0,0.0306545153273,0.0152240238819,1630.0,0.0115990057995,0.00569133756789
2,2000,1563.0,0.00745650372825,0.00406195341987,1741.0,0.0082850041425,0.00500881103615,1749.0,0.0248550124275,0.0123778619429,1557.0,0.00745650372825,0.00365921016294
2,2500,1357.0,0.00248550124275,0.00117370892019,1455.0,0.00248550124275,0.00113918806959,1420.0,0.0182270091135,0.0111249194513,1355.0,0.00248550124275,0.00124275062138
2,3000,868.0,0.00082850041425,0.00082850041425,921.0,0.00082850041425,0.00082850041425,815.0,0.0173985086993,0.0106738470036,869.0,0.00082850041425,0.00082850041425
2,3200,592.0,0.00082850041425,0.00027616680475,635.0,0.00082850041425,0.000138083402375,546.0,0.0157415078708,0.00671775752555,596.0,0.00082850041425,0.000414250207125
3,1,82.0,0.101990049751,0.041919371397,82.0,0.106965174129,0.0427179578299,83.0,0.107794361526,0.0424455105425,82.0,0.101160862355,0.0417416883835
3,5,242.0,0.161691542289,0.0709284266498,246.0,0.153399668325,0.0695043302008,250.0,0.15671641791,0.0675356682197,240.0,0.161691542289,0.0725848271868
3,10,339.0,0.198175787728,0.0887724078023,354.0,0.185737976783,0.0827979809945,348.0,0.182421227197,0.0826643896918,340.0,0.199004975124,0.0920852088763
3,15,400.0,0.21807628524,0.0996923451525,393.0,0.217247097844,0.0932921371976,394.0,0.207296849088,0.0916755508173,399.0,0.22056384743,0.098777277633
3,20,443.0,0.223051409619,0.0963482850299,443.0,0.226368159204,0.100002961384,435.0,0.22056384743,0.0967875569244,444.0,0.231343283582,0.0973742399116
3,30,508.0,0.235489220564,0.0975048698307,498.0,0.229684908789,0.0962255521335,490.0,0.208126036484,0.0934040116876,506.0,0.23631840796,0.0991096106768
3,50,583.0,0.230514096186,0.101989720709,574.0,0.228855721393,0.0976045697439,563.0,0.2271973466,0.0889563426255,589.0,0.233830845771,0.102627076259
3,75,661.0,0.219734660033,0.0899826265498,643.0,0.221393034826,0.0898957592987,640.0,0.212271973466,0.0848798336361,660.0,0.21807628524,0.0917045065677
3,100,704.0,0.188225538972,0.0807286319724,704.0,0.196517412935,0.0865615704546,683.0,0.204809286899,0.0866181657848,711.0,0.187396351575,0.0774905235726
3,125,760.0,0.179104477612,0.0783253046935,750.0,0.191542288557,0.0799218194741,727.0,0.182421227197,0.0777708678828,754.0,0.169983416252,0.0686478322672
3,150,827.0,0.183250414594,0.0738644739267,805.0,0.179933665008,0.0767324093817,774.0,0.185737976783,0.0752438205796,815.0,0.16583747927,0.0691542288557
3,200,877.0,0.150912106136,0.0583701861065,880.0,0.167495854063,0.0665955934613,852.0,0.162520729685,0.0696540445919,884.0,0.151741293532,0.0583678828082
3,300,1035.0,0.115257048093,0.0453479954724,1020.0,0.13184079602,0.0570599384032,993.0,0.142620232172,0.0643047987575,1027.0,0.111111111111,0.0419920898155
3,500,1260.0,0.0771144278607,0.0324126720893,1277.0,0.0878938640133,0.0353207507436,1247.0,0.0986733001658,0.0450133591303,1241.0,0.0771144278607,0.0320276922267
3,750,1405.0,0.0514096185738,0.0193345442102,1480.0,0.0563847429519,0.0251224038537,1494.0,0.0746268656716,0.0359755455527,1405.0,0.0497512437811,0.0188877043355
3,1000,1560.0,0.030679933665,0.0147993498118,1681.0,0.0381426202322,0.0150931848693,1695.0,0.0605306799337,0.0289044197004,1525.0,0.0290215588723,0.0146108083919
3,1250,1645.0,0.0199004975124,0.00895028824133,1776.0,0.0207296849088,0.00957875964095,1835.0,0.0439469320066,0.0224660428019,1633.0,0.0223880597015,0.00846396325252
3,1500,1659.0,0.00995024875622,0.00555654268341,1862.0,0.0124378109453,0.00651603095633,1903.0,0.0364842454395,0.0201604411803,1645.0,0.00995024875622,0.00434171733923
3,1750,1631.0,0.00912106135987,0.00427261838953,1843.0,0.00912106135987,0.00471353549712,1892.0,0.0331674958541,0.0186241411988,1616.0,0.00912106135987,0.00481619679381
3,2000,1567.0,0.00497512437811,0.0013161704704,1741.0,0.00497512437811,0.0023987206823,1755.0,0.030679933665,0.0171753665535,1562.0,0.00497512437811,0.00125365237306
