,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD,PureSVD,PureSVD
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
3,1500,9094.0,0.0285969615728,0.0140156673334,9662.0,0.029490616622,0.0144087691675,10712.0,0.0277033065237,0.0134462282083,9506.0,0.0183199285076,0.0100525554279
3,1750,10206.0,0.0290437890974,0.0138724874817,10624.0,0.031054512958,0.0145845745209,11594.0,0.029490616622,0.0140886314311,10704.0,0.0203306523682,0.0107291799651
3,2000,11370.0,0.0288203753351,0.0137847177894,11563.0,0.0297140303843,0.014386339135,12346.0,0.0299374441466,0.0140105252706,11913.0,0.0216711349419,0.0113992439395
3,2500,13408.0,0.0252457551385,0.0134178582067,13042.0,0.0299374441466,0.0147416734045,13635.0,0.029490616622,0.0139617643304,14106.0,0.0192135835567,0.010317283005
3,3000,15542.0,0.0245755138517,0.0123232194278,14756.0,0.0299374441466,0.0139925280508,14959.0,0.0290437890974,0.0138187617913,16298.0,0.0180965147453,0.00989492460672
3,3200,16418.0,0.0239052725648,0.012177911826,15390.0,0.0292672028597,0.0138264748855,15384.0,0.0312779267203,0.0146282820546,17283.0,0.017873100983,0.00997409464233
4,1,44.0,0.0166260252716,0.0103803577147,44.0,0.0164043449346,0.0103655790255,35.0,0.0166260252716,0.0105749437882,35.0,0.0161826645977,0.0106403922686
4,5,188.0,0.019286189315,0.0106627362391,176.0,0.0166260252716,0.0101217306549,184.0,0.0164043449346,0.0102260611627,289.0,0.0186211483041,0.0100315630575
4,10,447.0,0.0212813123476,0.00996162818929,349.0,0.0208379516737,0.0112022463607,347.0,0.0208379516737,0.0112726210709,568.0,0.0206162713367,0.00976053245506
4,15,656.0,0.0217246730215,0.011063432245,539.0,0.019507869652,0.0103194835904,488.0,0.0190645089781,0.0106128581633,865.0,0.0206162713367,0.00968083309582
4,20,900.0,0.0212813123476,0.0110649277076,738.0,0.0197295499889,0.0102253574156,714.0,0.0197295499889,0.010666342943,1120.0,0.0219463533585,0.00988289648232
4,30,1354.0,0.0212813123476,0.0100008620902,1147.0,0.0221680336954,0.0112765796483,1066.0,0.0219463533585,0.0118537402399,1625.0,0.0219463533585,0.0108005827026
4,50,2065.0,0.0228330747063,0.010902098222,1774.0,0.0250498780758,0.0130181777876,1700.0,0.0246065174019,0.0129776243609,2343.0,0.0219463533585,0.0105954404225
4,75,2702.0,0.0226113943693,0.0114867361265,2460.0,0.0272666814454,0.0133727783584,2253.0,0.0266016404345,0.0130390262955,2762.0,0.0201729106628,0.00934875243233
4,100,3051.0,0.024163156728,0.0113432596862,2975.0,0.0263799600975,0.0130550365421,2736.0,0.0283750831301,0.0138833468805,3066.0,0.0197295499889,0.00868670234664
4,125,3303.0,0.0232764353802,0.01050500892,3325.0,0.0248281977389,0.012372929664,3222.0,0.0257149190867,0.0125552001633,3193.0,0.0215029926845,0.00917536674021
4,150,3492.0,0.0246065174019,0.0112670790625,3575.0,0.0250498780758,0.0119156699848,3531.0,0.0277100421193,0.0126133472675,3395.0,0.0212813123476,0.00996356349382
4,200,3779.0,0.0232764353802,0.0110255178699,3965.0,0.0246065174019,0.0114214635828,4118.0,0.0270450011084,0.0116019747144,3551.0,0.0203945909998,0.00867957690724
4,300,4195.0,0.0259365994236,0.0118604258374,4628.0,0.0279317224562,0.0120953894009,4919.0,0.0283750831301,0.0121849412195,4072.0,0.0203945909998,0.0101696734262
4,500,5132.0,0.0266016404345,0.0123800551034,5634.0,0.0297051651519,0.0121835337253,6206.0,0.028818443804,0.0117151900293,4979.0,0.0223897140324,0.0098973232979
4,750,6271.0,0.0281534027932,0.0129054023146,6885.0,0.0292618044779,0.0123755687156,7840.0,0.0314786078475,0.0121171175926,6209.0,0.0228330747063,0.0100571618583
4,1000,7370.0,0.0308135668366,0.0123781197989,7982.0,0.0323653291953,0.0129871249468,9105.0,0.0314786078475,0.0124257106966,7481.0,0.0221680336954,0.00991069449283
4,1250,8385.0,0.0305918864997,0.0131611264176,9027.0,0.0319219685214,0.0131190775283,10123.0,0.0332520505431,0.0134416576059,8650.0,0.0223897140324,0.0104103549349
4,1500,9438.0,0.0297051651519,0.0124019592319,10018.0,0.0334737308801,0.0137421576182,10976.0,0.0323653291953,0.0129147269637,9910.0,0.0223897140324,0.0102927412005
4,1750,10534.0,0.0308135668366,0.0131336802807,10873.0,0.0332520505431,0.0136244559155,11823.0,0.0321436488583,0.0129533450859,11084.0,0.024163156728,0.0110959805484
4,2000,11613.0,0.0319219685214,0.0140286706569,11791.0,0.033695411217,0.0141792725366,12626.0,0.0343604522279,0.0133117282973,12277.0,0.0237197960541,0.0110239344389
4,2500,13652.0,0.0305918864997,0.0139369196286,13406.0,0.0354688539127,0.0152961191866,14130.0,0.0345821325648,0.0137962581767,14393.0,0.0219463533585,0.0110572744579
